A297092;https://apamo.org/adopt/adoptable-pets/?petID=A297092;Female;AMAZING RACE;Amazing Race is a very smart and obedient girl. She picks up well on verbal cues and already knows sit...;Pit Bull Terrier;;False;2024-06-04T07:41:06+0000;2024-06-04T07:41:09+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/71888467/1/?bust=1721047942&width=300
A292027;https://apamo.org/adopt/adoptable-pets/?petID=A292027;Male;BAMBINO;Bambino is a handsome boy! This low energy boy loves to cuddle, walks great on a leash, and appears to...;Pit Bull Terrier;;False;2024-06-04T23:14:14+0000;2024-06-04T23:14:17+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/71895300/1/?bust=1721049824&width=300
A297595;https://apamo.org/adopt/adoptable-pets/?petID=A297595;Male;RHINO;Rhino is a charismatic boy with the cutest bouncy strut! He has excellent leash manners, takes treats gently, and already...;Pit Bull Terrier;;False;2024-06-07T01:57:18+0000;2024-06-07T01:57:21+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/71925412/1/?bust=1721048283&width=300
A297402;https://apamo.org/adopt/adoptable-pets/?petID=A297402;Male;PANCAKE;Pancake is a low energy dog who is doing great in his foster home. He lives with kids, dogs and...;Mastiff;;False;2024-06-23T22:26:08+0000;2024-06-23T22:26:11+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72145193/1/?bust=1721049880&width=300
A281547;https://apamo.org/adopt/adoptable-pets/?petID=A281547;Female;NEW YORK;New York is a sweet shy girl looking for her forever home! New York walks well on a leash and...;Pit Bull Terrier;Mixed Breed;True;2024-06-23T22:26:08+0000;2024-06-23T22:26:10+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72145192/1/?bust=1721050098&width=300
A298254;https://apamo.org/adopt/adoptable-pets/?petID=A298254;Female;SIGRID;Sigrid is sweet, friendly girl who loves people. She's getting to know other shelter dogs and enjoys spending time outside.;Pit Bull Terrier;;False;2024-06-23T22:26:08+0000;2024-06-23T22:26:11+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72145195/1/?bust=1721049696&width=300
A297608;https://apamo.org/adopt/adoptable-pets/?petID=A297608;Female;WILLOW;Willow is a wiggly girl who loves attention. Stop by to meet her today!;Pit Bull Terrier;;False;2024-06-23T22:26:09+0000;2024-06-23T22:26:12+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72145204/1/?bust=1721047963&width=300
A298080;https://apamo.org/adopt/adoptable-pets/?petID=A298080;Male;SHORT STACK;Short Stack is a goofy little guy who appears to be housetrained. He's energetic and loves to play with toys....;Pit Bull Terrier;;False;2024-06-23T22:26:09+0000;2024-06-23T22:26:12+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72145218/1/?bust=1721047948&width=300
A297840;https://apamo.org/adopt/adoptable-pets/?petID=A297840;Male;MORRIS;Morris is a shy and scared boy who is very sweet once he warms up to you. Come meet him...;Pit Bull Terrier;;False;2024-06-23T22:26:10+0000;2024-06-23T22:26:14+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72145283/1/?bust=1721049871&width=300
A298464;https://apamo.org/adopt/adoptable-pets/?petID=A298464;Female;HUNTER;Hunter is a bit shy but easy to leash and walk outside. Social, loose body language. Appears interested in other...;Pit Bull Terrier;;False;2024-07-12T18:46:44+0000;2024-07-12T18:46:46+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373306/1/?bust=1721048302&width=300
